GIORNATA,DATA,ORARIO,SQUADRA1,SQUADRA2,RISULTATO FINALE
10,30-10-2023,20:45,Lazio,Fiorentina,1-0
11,03-11-2023,20:45,Bologna,Lazio,1-0
11,04-11-2023,15:00,Salernitana,Napoli,0-2
11,04-11-2023,18:00,Atalanta,Inter,1-2
11,04-11-2023,20:45,Milan,Udinese,0-1
11,05-11-2023,12:30,Verona,Monza,1-3
11,05-11-2023,15:00,Cagliari,Genoa,2-1
11,05-11-2023,18:00,Roma,Lecce,2-1
11,05-11-2023,20:45,Fiorentina,Juventus,0-1
11,06-11-2023,18:30,Frosinone,Empoli,2-1
11,06-11-2023,20:45,Torino,Sassuolo,2-1
12,10-11-2023,18:30,Sassuolo,Salernitana,2-2
12,10-11-2023,20:45,Genoa,Verona,1-0
12,11-11-2023,15:00,Lecce,Milan,2-2
12,11-11-2023,18:00,Juventus,Cagliari,2-1
12,11-11-2023,20:45,Monza,Torino,1-1
12,12-11-2023,12:30,Napoli,Empoli,0-1
12,12-11-2023,15:00,Fiorentina,Bologna,2-1
12,12-11-2023,15:00,Udinese,Atalanta,1-1
12,12-11-2023,18:00,Lazio,Roma,0-0
12,12-11-2023,20:45,Inter,Frosinone,2-0
13,25-11-2023,15:00,Salernitana,Lazio,2-1
13,25-11-2023,18:00,Atalanta,Napoli,1-2
13,25-11-2023,20:45,Milan,Fiorentina,1-0
13,26-11-2023,12:30,Cagliari,Monza,1-1
13,26-11-2023,15:00,Empoli,Sassuolo,3-4
13,26-11-2023,15:00,Frosinone,Genoa,2-1
13,26-11-2023,18:00,Roma,Udinese,3-1
13,26-11-2023,20:45,Juventus,Inter,1-1
13,27-11-2023,18:30,Verona,Lecce,2-2
13,27-11-2023,20:45,Bologna,Torino,2-0
14,01-12-2023,20:45,Monza,Juventus,1-2
14,02-12-2023,15:00,Genoa,Empoli,1-1
14,02-12-2023,18:00,Lazio,Cagliari,1-0
14,02-12-2023,20:45,Milan,Frosinone,3-1
14,03-12-2023,12:30,Lecce,Bologna,1-1
14,03-12-2023,15:00,Fiorentina,Salernitana,3-0
14,03-12-2023,15:00,Udinese,Verona,3-3
14,03-12-2023,18:00,Sassuolo,Roma,1-2
14,03-12-2023,20:45,Napoli,Inter,0-3
14,04-12-2023,20:45,Torino,Atalanta,3-0
15,08-12-2023,20:45,Juventus,Napoli,1-0
15,09-12-2023,15:00,Verona,Lazio,1-1
15,09-12-2023,18:00,Atalanta,Milan,3-2
15,09-12-2023,20:45,Inter,Udinese,4-0
15,10-12-2023,12:30,Frosinone,Torino,0-0
15,10-12-2023,15:00,Monza,Genoa,1-0
15,10-12-2023,18:00,Salernitana,Bologna,1-2
15,10-12-2023,20:45,Roma,Fiorentina,1-1
15,11-12-2023,18:30,Empoli,Lecce,1-1
15,11-12-2023,20:45,Cagliari,Sassuolo,2-1
16,15-12-2023,20:45,Genoa,Juventus,1-1
16,16-12-2023,15:00,Lecce,Frosinone,2-1
16,16-12-2023,18:00,Napoli,Cagliari,2-1
16,16-12-2023,20:45,Torino,Empoli,1-0
16,17-12-2023,12:30,Milan,Monza,3-0
16,17-12-2023,15:00,Fiorentina,Verona,1-0
16,17-12-2023,15:00,Udinese,Sassuolo,2-2
16,17-12-2023,18:00,Bologna,Roma,2-0
16,17-12-2023,20:45,Lazio,Inter,0-2
16,18-12-2023,20:45,Atalanta,Salernitana,4-1
17,22-12-2023,18:30,Empoli,Lazio,0-2
17,22-12-2023,18:30,Sassuolo,Genoa,1-2
17,22-12-2023,20:45,Monza,Fiorentina,0-1
17,22-12-2023,20:45,Salernitana,Milan,2-2
17,23-12-2023,12:30,Frosinone,Juventus,1-2
17,23-12-2023,15:00,Bologna,Atalanta,1-0
17,23-12-2023,15:00,Torino,Udinese,1-1
17,23-12-2023,18:00,Verona,Cagliari,2-0
17,23-12-2023,18:00,Inter,Lecce,2-0
17,23-12-2023,20:45,Roma,Napoli,2-0
18,29-12-2023,18:30,Fiorentina,Torino,1-0
18,29-12-2023,18:30,Napoli,Monza,0-0
18,29-12-2023,20:45,Genoa,Inter,1-1
18,29-12-2023,20:45,Lazio,Frosinone,3-1
18,30-12-2023,12:30,Atalanta,Lecce,1-0
18,30-12-2023,15:00,Cagliari,Empoli,0-0
18,30-12-2023,15:00,Udinese,Bologna,3-0
18,30-12-2023,18:00,Verona,Salernitana,0-1
18,30-12-2023,18:00,Milan,Sassuolo,1-0
18,30-12-2023,20:45,Juventus,Roma,1-0
19,05-01-2024,20:45,Bologna,Genoa,1-1
19,06-01-2024,12:30,Inter,Verona,2-1
19,06-01-2024,15:00,Frosinone,Monza,2-3
19,06-01-2024,18:00,Lecce,Cagliari,1-1
19,06-01-2024,20:45,Sassuolo,Fiorentina,1-0
19,07-01-2024,12:30,Empoli,Milan,0-3
19,07-01-2024,15:00,Torino,Napoli,3-0
19,07-01-2024,15:00,Udinese,Lazio,1-2
19,07-01-2024,18:00,Salernitana,Juventus,1-2
19,07-01-2024,20:45,Roma,Atalanta,1-1
20,13-01-2024,15:00,Genoa,Torino,0-0
20,13-01-2024,18:00,Napoli,Salernitana,2-1
20,13-01-2024,18:00,Verona,Empoli,2-1
